id,type,property_account_expense_categ,property_account_income_categ,name,donation_expense_account,family_id,msfid,asset_bs_account_id,asset_bs_depreciation_account_id,asset_pl_account_id
categ_1,Normal,61150,61150,DATA PROCESSING,91100,ADAP - Data Processing,LOG-A-ADAP,20300,21200,68020
categ_2,Normal,61020,61020,FOOD FOR MSF STAFF,,AFOO - Food For Msf Staff,LOG-A-AFOO,20300,21200,68020
categ_3,Normal,61170,61170,FURNITURES,91100,AFUR - Furnitures,LOG-A-AFUR,20300,21200,68020
categ_4,Normal,61030,61030,TEAM LIFE,,ALIF - Team Life,LOG-A-ALIF,20300,21200,68020
categ_5,Normal,61220,61220,LOGISTIC STATIONERY,91100,ALST - Logistic Stationery,LOG-A-ALST,20300,21200,68020
categ_6,Normal,61220,61220,OFFICE EQUIPMENT,91100,AOFF - Office Equipment,LOG-A-AOFF,20300,21200,68020
categ_7,Normal,61220,61220,STATIONERY,91100,ASTA - Stationery,LOG-A-ASTA,20300,21200,68020
categ_8,Normal,61000,61000,BUILDING,91100,CBUI - Building,LOG-C-CBUI,20300,21200,68020
categ_9,Normal,61040,61040,SEMIPERMANENT SHELTER,91100,CSEM - Semipermanent Shelter,LOG-C-CSEM,20300,21200,68020
categ_10,Normal,61130,61130,SHELTERS,91100,CSHE - Shelters,LOG-C-CSHE,20300,21200,68020
categ_11,Normal,61010,61010,WATER AND SANITATION,91100,CWAT - Water And Sanitation,LOG-C-CWAT,20300,21200,68020
categ_12,Normal,61110,61110,SPARE PARTS HAYWARD,91100,CXHA - Spare Parts Hayward,LOG-C-CXHA,20300,21200,68020
categ_13,Normal,60200,60200,DIAGNOSTIC TESTS,91000,DDGT - Diagnostic tests,MED-D-DDGT,20200,21100,68010
categ_14,Normal,60000,60000,DISINFECTANTS,91000,DDIS - Disinfectants,MED-D-DDIS,20200,21100,68010
categ_15,Normal,60000,60000,OPHTALMIC DRUGS FOR EXTERNAL USE,91000,DEXO - Ophtalmic Drugs For External Use,MED-D-DEXO,20200,21100,68010
categ_16,Normal,60000,60000,DRUGS EXTERNAL USE,91000,DEXT - Drugs External Use,MED-D-DEXT,20200,21100,68010
categ_17,Normal,60000,60000,INFUSIONS,91000,DINF - Infusions,MED-D-DINF,20200,21100,68010
categ_18,Normal,60000,60000,INJECTABLE DRUGS,91000,DINJ - Injectable Drugs,MED-D-DINJ,20200,21100,68010
categ_19,Normal,60000,60000,ORAL DRUGS,91000,DORA - Oral Drugs,MED-D-DORA,20200,21100,68010
categ_20,Normal,60010,60010,VACCINES,91000,DVAC - Vaccines,MED-D-DVAC,20200,21100,68010
categ_21,Normal,60100,60100,ANAESTHESIA,91000,EANE - Anaesthesia,MED-E-EANE,20200,21100,68010
categ_22,Normal,60100,60100,ANTHROPOMETRIC EQUIPMENT,91000,EANT - Anthropometric Equipment,MED-E-EANT,20200,21100,68010
categ_23,Normal,60100,60100,DIAGNOSTIC IMAGING EQUIPMENT,91000,EDIM - Diagnostic Imaging equipment,MED-E-EDIM,20200,21100,68010
categ_24,Normal,60100,60100,HOSPITAL EQUIPMENT,91000,EHOE - Hospital Equipment,MED-E-EHOE,20200,21100,68010
categ_25,Normal,60110,60110,LABORATORY EQUIPMENT,91000,ELAE - Laboratory Equipment,MED-E-ELAE,20200,21100,68010
categ_26,Normal,60210,60210,LINEN AND PROTECTIVE CLOTHING,91000,ELIN - Linen And Protective Clothing,MED-E-ELIN,20200,21100,68010
categ_27,Normal,60210,60210,MEDICAL EQUIPMENT,91000,EMEQ - Medical Equipment,MED-E-EMEQ,20200,21100,68010
categ_28,Normal,60210,60210,PHYSIOTHERAPY EQUIPMENT,91000,EPHY - Physiotherapy equipment,MED-E-EPHY,20200,21100,68010
categ_29,Normal,60100,60100,EQUIPMENT FOR PSYCHOLOGICQL SUPPORT,,EPSY - Equipment for psychological support,MED-E-EPSY,20200,21100,68010
categ_30,Normal,60210,60210,NAIL OF SIGN MATERIAL,91000,ESIG - NAIL of SIGN material,MED-E-ESIG,20200,21100,68010
categ_31,Normal,60100,60100,STERILIZATION,91000,ESTE - Sterilization,MED-E-ESTE,20200,21100,68010
categ_32,Normal,60210,60210,STRYKER MATERIAL FOR INTERNAL FIXATION,91000,ESTR - Stryker material for internal fixation,MED-E-ESTR,20200,21100,68010
categ_33,Normal,60210,60210,DENTAL SURGICAL INSTRUMENTS,91000,ESUD - Dental Surgical Instruments,MED-E-ESUD,20200,21100,68010
categ_34,Normal,60100,60100,SURGICAL INSTRUMENTS FOR EXTERNAL FIXATOR,91000,ESUF - Surgical Instruments For External Fixator,MED-E-ESUF,20200,21100,68010
categ_35,Normal,60100,60100,OPHTALMIC SURGICAL INSTRUMENTS,91000,ESUO - Ophtalmic Surgical Instruments,MED-E-ESUO,20200,21100,68010
categ_36,Normal,60100,60100,SURGICAL INSTRUMENTS,91000,ESUR - Surgical Instruments,MED-E-ESUR,20200,21100,68010
categ_37,Normal,60210,60210,TRAINING MANNEQUINS,91000,ETMA - Training Mannequins,MED-E-ETMA,20200,21100,68010
categ_38,Normal,60210,60210,TRAINING POSTERS,91000,ETPO - Training Posters,MED-E-ETPO,20200,21100,68010
categ_39,Normal,60210,60210,DIAGNOSTIC IMAGING CHECKLISTS,,IDIM - Diagnostic imaging checklists,MED-I-IDIM,20200,21100,68010
categ_40,Normal,60210,60210,EMERGENCY ITEMS LIST,,IEME - Emergency items list,MED-I-IEME,20200,21100,68010
categ_41,Normal,60200,60200,LABORATORY CHECKLISTS,,ILAB - Laboratory checklists,MED-I-ILAB,20200,21100,68010
categ_42,Normal,60210,60210,PAEDIATRIC CHECKLISTS,,IPED - Paediatric checklists,MED-I-IPED,20200,21100,68010
categ_43,Normal,60210,60210,INTERNAL FIXATION CHECKLISTS,,ISUI - Internal fixation checklists,MED-I-ISUI,20200,21100,68010
categ_44,Normal,61050,61050,ADMINISTRATION KITS,91100,KADM - Administration Kits,LOG-K-KADM,20300,21200,68020
categ_45,Normal,61050,61050,CAMPS KITS,91100,KCAM - Camps Kits,LOG-K-KCAM,20300,21200,68020
categ_46,Normal,61050,61050,COMMUNICATION KITS,91100,KCOM - Communication Kits,LOG-K-KCOM,20300,21200,68020
categ_47,Normal,61220,61220,"DOC - KIT, LIBRARY",,"KLIB - KIT, LIBRARY",LIB-K-KLIB,,,
categ_48,Normal,60020,60020,MEDICAL KITS,91000,KMED - Medical Kits,MED-K-KMED,20200,21100,68010
categ_49,Normal,61050,61050,PROGRAMME SUPPORT KITS,91000,KPRO - Programme Support Kits,LOG-K-KPRO,20300,21200,68020
categ_50,Normal,60020,60020,DENTAL INSTRUMENT BOX,91000,KSUD - Dental Instrument Box,MED-K-KSUD,20200,21100,68010
categ_51,Normal,60210,60210,OPHTHALMIC INSTRUMENT BOXES,91000,KSUO - Ophthalmic instruments boxes,MED-K-KSUO,20200,21100,68010
categ_52,Normal,60020,60020,SURGICAL INSTRUMENTS SETS,91000,KSUR - Surgical Instruments Sets,MED-K-KSUR,20200,21100,68010
categ_53,Normal,61050,61050,TRANSPORT KITS,91100,KTRA - Transport Kits,LOG-K-KTRA,20300,21200,68020
categ_54,Normal,61050,61050,WATER AND SANITATION KITS,91100,KWAT - Water And Sanitation Kits,LOG-K-KWAT,20300,21200,68020
categ_55,Normal,61220,61220,DOC - MSF,,L000 - MSF (articles written by MSF),LIB-L-L000,,,
categ_56,Normal,61220,61220,DOC - MEDICINE GENERAL INFORMATION,,L001 - Medicine General Information,LIB-L-L001,,,
categ_57,Normal,61220,61220,DOC - INTERNAL MEDICINE,,L002 - Internal Medicine,LIB-L-L002,,,
categ_58,Normal,61220,61220,DOC - VIRAL INFECTIOUS DISEASES,,L003 - Viral Infectious Diseases,LIB-L-L003,,,
categ_59,Normal,61220,61220,DOC - BACTERIAL INFECTIOUS DISEASES,,L004 - Bacterial Infectious Diseases,LIB-L-L004,,,
categ_60,Normal,61220,61220,DOC - MYCOLOGICAL INFECTIOUS DISEASES,,L005 - MYCOLOGICAL INFECTIOUS DISEASES,LIB-L-L005,,,
categ_61,Normal,61220,61220,DOC - PARASITIC INFECTIOUS DISEASES,,L006 - Parasitic Infectious Diseases,LIB-L-L006,,,
