id,sequence,level,name,type,parent_id,msfid
nom_1,30,0,LIB,Mandatory,,LIB
nom_2,40,0,SRV,Mandatory,,SRV
nom_3,0,1,A - Administration,Mandatory,LOG,LOG-A
nom_4,0,1,C - Camp,Mandatory,LOG,LOG-C
nom_5,0,1,D - Drugs,Mandatory,MED,MED-D
nom_6,0,1,E - Medical Equipment,Mandatory,MED,MED-E
nom_7,0,1,I - Inventory lists / checklists,Mandatory,MED,MED-I
nom_8,0,1,K - Lib Kits,Mandatory,LIB,LIB-K
nom_9,0,1,K - Log Kits,Mandatory,LOG,LOG-K
nom_10,0,1,K - Med Kits,Mandatory,MED,MED-K
nom_11,0,1,L - Library,Mandatory,LIB,LIB-L
nom_12,0,1,N - Nutrition,Mandatory,MED,MED-N
nom_13,0,1,P - Program support,Mandatory,LOG,LOG-P
nom_14,0,1,S - Medical renewable supplies,Mandatory,MED,MED-S
nom_15,0,1,T - Transport,Mandatory,LOG,LOG-T
nom_16,0,1,X - Services,Mandatory,SRV,SRV-X
nom_17,0,2,ADAP - Data Processing,Mandatory,A - Administration,LOG-A-ADAP
nom_18,0,2,AFOO - Food For Msf Staff,Mandatory,A - Administration,LOG-A-AFOO
nom_19,0,2,AFUR - Furnitures,Mandatory,A - Administration,LOG-A-AFUR
nom_20,0,2,ALIF - Team Life,Mandatory,A - Administration,LOG-A-ALIF
nom_21,0,2,ALST - Logistic Stationery,Mandatory,A - Administration,LOG-A-ALST
nom_22,0,2,AOFF - Office Equipment,Mandatory,A - Administration,LOG-A-AOFF
nom_23,0,2,ASTA - Stationery,Mandatory,A - Administration,LOG-A-ASTA
nom_24,0,2,CBUI - Building,Mandatory,C - Camp,LOG-C-CBUI
nom_25,0,2,CSEM - Semipermanent Shelter,Mandatory,C - Camp,LOG-C-CSEM
nom_26,0,2,CSHE - Shelters,Mandatory,C - Camp,LOG-C-CSHE
nom_27,0,2,CWAT - Water And Sanitation,Mandatory,C - Camp,LOG-C-CWAT
nom_28,0,2,CXHA - Spare Parts Hayward,Mandatory,C - Camp,LOG-C-CXHA
nom_29,0,2,DDGT - Diagnostic tests,Mandatory,D - Drugs,MED-D-DDGT
nom_30,0,2,DDIS - Disinfectants,Mandatory,D - Drugs,MED-D-DDIS
nom_31,0,2,DEXO - Ophtalmic Drugs For External Use,Mandatory,D - Drugs,MED-D-DEXO
nom_32,0,2,DEXT - Drugs External Use,Mandatory,D - Drugs,MED-D-DEXT
nom_33,0,2,DINF - Infusions,Mandatory,D - Drugs,MED-D-DINF
nom_34,0,2,DINJ - Injectable Drugs,Mandatory,D - Drugs,MED-D-DINJ
nom_35,0,2,DORA - Oral Drugs,Mandatory,D - Drugs,MED-D-DORA
nom_36,0,2,DVAC - Vaccines,Mandatory,D - Drugs,MED-D-DVAC
nom_37,0,2,EANE - Anaesthesia,Mandatory,E - Medical Equipment,MED-E-EANE
nom_38,0,2,EANT - Anthropometric Equipment,Mandatory,E - Medical Equipment,MED-E-EANT
nom_39,0,2,EDIM - Diagnostic Imaging equipment,Mandatory,E - Medical Equipment,MED-E-EDIM
nom_40,0,2,EHOE - Hospital Equipment,Mandatory,E - Medical Equipment,MED-E-EHOE
nom_41,0,2,ELAE - Laboratory Equipment,Mandatory,E - Medical Equipment,MED-E-ELAE
nom_42,0,2,ELIN - Linen And Protective Clothing,Mandatory,E - Medical Equipment,MED-E-ELIN
nom_43,0,2,EMEQ - Medical Equipment,Mandatory,E - Medical Equipment,MED-E-EMEQ
nom_44,0,2,EPHY - Physiotherapy equipment,Mandatory,E - Medical Equipment,MED-E-EPHY
nom_45,0,2,EPSY - Equipment for psychological support,Mandatory,E - Medical Equipment,MED-E-EPSY
nom_46,0,2,ESIG - NAIL of SIGN material,Mandatory,E - Medical Equipment,MED-E-ESIG
nom_47,0,2,ESTE - Sterilization,Mandatory,E - Medical Equipment,MED-E-ESTE
nom_48,0,2,ESTR - Stryker material for internal fixation,Mandatory,E - Medical Equipment,MED-E-ESTR
nom_49,0,2,ESUD - Dental Surgical Instruments,Mandatory,E - Medical Equipment,MED-E-ESUD
nom_50,0,2,ESUF - Surgical Instruments For External Fixator,Mandatory,E - Medical Equipment,MED-E-ESUF
nom_51,0,2,ESUO - Ophtalmic Surgical Instruments,Mandatory,E - Medical Equipment,MED-E-ESUO
nom_52,0,2,ESUR - Surgical Instruments,Mandatory,E - Medical Equipment,MED-E-ESUR
nom_53,0,2,ETMA - Training Mannequins,Mandatory,E - Medical Equipment,MED-E-ETMA
nom_54,0,2,ETPO - Training Posters,Mandatory,E - Medical Equipment,MED-E-ETPO
nom_55,0,2,IDIM - Diagnostic imaging checklists,Mandatory,I - Inventory lists / checklists,MED-I-IDIM
nom_56,0,2,IEME - Emergency items list,Mandatory,I - Inventory lists / checklists,MED-I-IEME
nom_57,0,2,ILAB - Laboratory checklists,Mandatory,I - Inventory lists / checklists,MED-I-ILAB
nom_58,0,2,IPED - Paediatric checklists,Mandatory,I - Inventory lists / checklists,MED-I-IPED
nom_59,0,2,ISUI - Internal fixation checklists,Mandatory,I - Inventory lists / checklists,MED-I-ISUI
nom_60,0,2,KADM - Administration Kits,Mandatory,K - Log Kits,LOG-K-KADM
nom_61,0,2,KCAM - Camps Kits,Mandatory,K - Log Kits,LOG-K-KCAM
nom_62,0,2,KCOM - Communication Kits,Mandatory,K - Log Kits,LOG-K-KCOM
nom_63,0,2,"KLIB - KIT, LIBRARY",Mandatory,K - Lib Kits,LIB-K-KLIB
nom_64,0,2,KMED - Medical Kits,Mandatory,K - Med Kits,MED-K-KMED
nom_65,0,2,KPRO - Programme Support Kits,Mandatory,K - Log Kits,LOG-K-KPRO
nom_66,0,2,KSUD - Dental Instrument Box,Mandatory,K - Med Kits,MED-K-KSUD
