id,user_type,accrual_account,activation_date,code,default_destination_id,inactivation_date,type,name,note,parent_id,is_not_hq_correctible,reconcile,type_for_register
account_MSF,View,FALSE,01-Jan-12,MSF,,,View,MSF Chart of Accounts,,,,FALSE,None
account_1,View,FALSE,01-Jan-12,1,,,View,Current Assets  < 12 months,,MSF,,FALSE,None
account_10,View,FALSE,01-Jan-12,10,,,View,Cash and cash equivalents,,1,,FALSE,None
account_101,View,FALSE,01-Jan-12,101,,,View,Cash on hand,,10,,FALSE,None
account_1010,Cash,FALSE,01-Jan-12,1010,,,Liquidity,Cash on hand,,101,,FALSE,None
account_102,View,FALSE,01-Jan-12,102,,,View,Cash at Bank,,10,,FALSE,None
account_1020,Cash,FALSE,01-Jan-12,1020,,,Liquidity,Cash at Bank,,102,,FALSE,None
account_1021,Cash,FALSE,01-Jan-12,1021,,,Liquidity,Outstanding cheques,,102,,TRUE,None
account_11,View,FALSE,01-Jan-12,11,,,View,Financial Assets ,,1,,FALSE,None
account_110,View,FALSE,01-Jan-12,110,,,View,Guarantee and  Deposits,,11,,FALSE,None
account_1100,Asset,FALSE,01-Jan-12,1100,,,Regular,Guarantee and  Deposits,,110,,TRUE,None
account_12,View,FALSE,01-Jan-12,12,,,View,Accounts receivable,,1,,FALSE,None
account_120,View,FALSE,01-Jan-12,120,,,View,Receivables,,12,,FALSE,None
account_1200,Receivables,FALSE,01-Jan-12,1200,,,Receivable,Receivable from other missions,,120,,TRUE,None
account_1201,Receivables,FALSE,01-Jan-12,1201,,,Receivable,Receivable from other sections,,120,,TRUE,None
account_1202,Receivables,FALSE,01-Jan-12,1202,,,Receivable,VAT recoverable,,120,,TRUE,None
account_1203,Receivables,FALSE,01-Jan-12,1203,,,Receivable,Taxes receivables,,120,,TRUE,None
account_1204,Receivables,FALSE,01-Jan-12,1204,,,Receivable,Social security receivable,,120,,TRUE,None
account_1205,Receivables,FALSE,01-Jan-12,1205,,,Receivable,Other receivables,,120,,TRUE,None
account_1209,Cash,FALSE,01-Jan-12,1209,,,Receivable,To be reinvoiced to other sections,,120,,TRUE,None
account_129,View,FALSE,01-Jan-12,129,,,View,Depreciation on receivables,,12,,FALSE,None
account_1299,Receivables,FALSE,01-Jan-12,1299,,,Receivable,Depreciation on receivables,,129,,TRUE,None
account_13,View,FALSE,01-Jan-12,13,,,View,Advances and Prepayment,,1,,FALSE,None
account_130,View,FALSE,01-Jan-12,130,,,View,Internal advances,,13,,FALSE,None
account_1300,Receivables,FALSE,01-Jan-12,1300,,,Receivable,Operating advances,,130,,TRUE,Operational Advance
account_1301,Receivables,FALSE,01-Jan-12,1301,,,Receivable,Security enveloppes  ,,130,,TRUE,Operational Advance
account_131,View,FALSE,01-Jan-12,131,,,View,Advances done to third parties,,13,,FALSE,None
account_1310,Receivables,FALSE,01-Jan-12,1310,,,Receivable,Advances to third parties,,131,,TRUE,Down payment
account_132,View,FALSE,01-Jan-12,132,,,View,Advances to personal,,13,,FALSE,None
account_1320,Receivables,FALSE,01-Jan-12,1320,,,Receivable,Advances on salaries of expatriates,,132,,TRUE,None
account_1321,Receivables,FALSE,01-Jan-12,1321,,,Receivable,Advances on salaries of national staff,,132,,TRUE,Third party required - Payroll
account_4202,Receivables,FALSE,01-Jan-12,4202,,,Receivable,Advance to the staff,,132,,TRUE,None
account_133,View,FALSE,01-Jan-12,133,,,View,Prepaid Expenses,,13,,FALSE,None
account_4203,Receivables,FALSE,01-Jan-12,4203,,,Receivable,Advance with supplier and various,,133,,TRUE,Third party required - Payroll
account_1330,Receivables,FALSE,01-Jan-12,1330,,,Receivable,Prepaid Expenses rentals,,133,,TRUE,None
account_1331,Receivables,FALSE,01-Jan-12,1331,,,Receivable,Prepaid Expenses insurances,,133,,TRUE,None
account_1332,Receivables,FALSE,01-Jan-12,1332,,,Receivable,Other prepaid,,133,,TRUE,None
account_134,View,FALSE,01-Jan-12,134,,,View,Prepayment - goods not yet allocated to a project ,,13,,FALSE,None
account_1340,Receivables,FALSE,01-Jan-12,1340,,,Receivable,Goods not yet allocated to a project ,,134,,TRUE,None
account_14,View,FALSE,01-Jan-12,14,,,View,Suspense accounts: ,,1,,FALSE,None
account_140,View,FALSE,01-Jan-12,140,,,View,Non monetary ,,14,,FALSE,None
account_1400,Cash,FALSE,01-Jan-12,1400,,,Regular,Advances to/from HQ departments,,140,,TRUE,None
account_1401,Cash,FALSE,01-Jan-12,1401,,,Regular,Advances or expenses paid for/by other missions ,,140,,TRUE,None
account_1402,Cash,FALSE,01-Jan-12,1402,,,Regular,Advances and expenses paid for/by other MSF section,,140,,TRUE,None
account_1403,Cash,FALSE,01-Jan-12,1403,,,Regular,Advances and expenses paid for/by other NGO,,140,,TRUE,None
account_1404,Cash,FALSE,01-Jan-12,1404,,,Regular,Locally received donations (OCA only),,140,,TRUE,None
account_141,View,FALSE,01-Jan-12,141,,,View,Monetary Transfers,,14,,FALSE,None
account_1410,Cash,FALSE,01-Jan-12,1410,,,Regular,Bank transfer with HQ,,141,,TRUE,None
account_1411,Cash,FALSE,01-Jan-12,1411,,,Regular,Cash transfer with HQ,,141,,TRUE,None
account_1412,Cash,FALSE,01-Jan-12,1412,,,Regular,Internal transfer same currency,,141,,TRUE,Internal Transfer (same currency)
account_1413,Cash,FALSE,01-Jan-12,1413,,,Regular,Internal transfer with currency exchange,,141,,TRUE,Internal Transfer
account_1414,Cash,FALSE,01-Jan-12,1414,,,Regular,Transfer to/from another financial mission: Same section,,141,,TRUE,None
account_1415,Cash,FALSE,01-Jan-12,1415,,,Regular,Transfer to/from another financial mission: Other section,,141,,TRUE,None
account_1416,Cash,FALSE,01-Jan-12,1416,,,Regular,Others,,141,,TRUE,None
account_15,View,FALSE,01-Jan-12,15,,,View,Inventory,,1,,FALSE,None
account_150,View,FALSE,01-Jan-12,150,,,View,Medical inventory,,15,,FALSE,None
account_1500,Stock,FALSE,01-Jan-12,1500,,,Regular,Medical inventory,,150,,FALSE,None
account_151,View,FALSE,01-Jan-12,151,,,View,Non medical inventory,,15,,FALSE,None
account_1510,Stock,FALSE,01-Jan-12,1510,,,Regular,Non medical inventory,,151,,FALSE,None
account_152,View,FALSE,01-Jan-12,152,,,View,Other inventories,,15,,FALSE,None
account_1520,Stock,FALSE,01-Jan-12,1520,,,Regular,Other Inventory,,152,,FALSE,None
account_153,View,FALSE,01-Jan-12,153,,,View,Stock Transfers,,15,,FALSE,None
account_1530,Stock,FALSE,01-Jan-12,1530,,,Regular,Stock transfers between missions,,153,,FALSE,None
account_1531,Stock,FALSE,01-Jan-12,1531,,,Regular,Stock transfers between sections,,153,,FALSE,None
account_1532,Stock,FALSE,01-Jan-12,1532,,,Regular,Stock in transit ,,153,,FALSE,None
account_159,View,FALSE,01-Jan-12,159,,,View,Depreciation on inventory,,15,,FALSE,None
account_1591,Stock,FALSE,01-Jan-12,1591,,,Regular,Depreciation on medical inventory,,159,,FALSE,None
account_1592,Stock,FALSE,01-Jan-12,1592,,,Regular,Depreciation on non medical inventory,,159,,FALSE,None
account_1593,Stock,FALSE,01-Jan-12,1593,,,Regular,Depreciation on other inventory,,159,,FALSE,None
account_2,View,FALSE,01-Jan-12,2,,,View,Non current Assets  > 12 months,,MSF,,FALSE,None
account_20,View,FALSE,01-Jan-12,20,,,View,"Property, plant and equipement",,2,,FALSE,None
account_200,View,FALSE,01-Jan-12,200,,,View,Land,,20,,FALSE,None
account_2000,Asset,FALSE,01-Jan-12,2000,,,Regular,Land,,200,,FALSE,None
account_201,View,FALSE,01-Jan-12,201,,,View,Buildings,,20,,FALSE,None
account_2010,Asset,FALSE,01-Jan-12,2010,,,Regular,Buildings,,201,,FALSE,None
account_202,View,FALSE,01-Jan-12,202,,,View,Medical equipment,,20,,FALSE,None
account_2020,Asset,FALSE,01-Jan-12,2020,,,Regular,Medical equipment,,202,,FALSE,None
account_203,View,FALSE,01-Jan-12,203,,,View,Non medical equipment,,20,,FALSE,None
account_2030,Asset,FALSE,01-Jan-12,2030,,,Regular,Non medical equipment,,203,,FALSE,None
account_21,View,FALSE,01-Jan-12,21,,,View,Accumulated depreciation,,2,,FALSE,None
account_210,View,FALSE,01-Jan-12,210,,,View,Buildings - accumulated depreciation,,21,,FALSE,None
account_2100,Asset,FALSE,01-Jan-12,2100,,,Regular,Buildings - accumulated depreciation,,210,,FALSE,None
account_211,View,FALSE,01-Jan-12,211,,,View,Medical equipment-accumulated depreciation,,21,,FALSE,None
account_2110,Asset,FALSE,01-Jan-12,2110,,,Regular,Medical equipment- accumulated depreciation,,211,,FALSE,None
account_212,View,FALSE,01-Jan-12,212,,,View,Non medical equipment - accumulated depreciation,,21,,FALSE,None
account_2120,Asset,FALSE,01-Jan-12,2120,,,Regular,Non medical equipment - accumulated depreciation,,212,,FALSE,None
account_22,View,FALSE,01-Jan-12,22,,,View,Intangibles Assets,,2,,FALSE,None
account_220,View,FALSE,01-Jan-12,220,,,View,Softwares - trademarks and licences,,22,,FALSE,None
account_2200,Asset,FALSE,01-Jan-12,2200,,,Regular,Softwares - trademarks and licences,,22,,FALSE,None
account_23,View,FALSE,01-Jan-12,23,,,View,Accumulated depreciation on intangibles Assets ,,2,,FALSE,None
account_230,View,FALSE,01-Jan-12,230,,,View,Softwares - trademarks and licence  - accumulated depreciation,,23,,FALSE,None
account_2300,Asset,FALSE,01-Jan-12,2300,,,Regular,Softwares - trademarks and licence - accumulated depreciation,,230,,FALSE,None
account_24,View,FALSE,01-Jan-12,24,,,View,Long term investments,,2,,FALSE,None
account_240,View,FALSE,01-Jan-12,240,,,View,Guarantees & deposits: Greater than 1 year,,24,,FALSE,None
account_2400,Asset,FALSE,01-Jan-12,2400,,,Regular,Guarantees & deposits: Greater than 1 year,,240,,TRUE,None
account_25,View,FALSE,01-Jan-12,25,,,View,Other non-current Assets,,2,,FALSE,None
account_250,View,FALSE,01-Jan-12,250,,,View,Other non-current Assets,,25,,FALSE,None
account_2500,Asset,FALSE,01-Jan-12,2500,,,Regular,Other non-current Assets,,250,,FALSE,None
account_3,View,FALSE,01-Jan-12,3,,,View,Current Liabilities < 12 months,,MSF,,FALSE,None
account_30,View,FALSE,01-Jan-12,30,,,View,Accounts payable,,3,,FALSE,None
account_300,View,FALSE,01-Jan-12,300,,,View,Payables,,30,,FALSE,None
account_3000,Payables,FALSE,01-Jan-12,3000,,,Payable,Payable to other missions,,300,,TRUE,None
account_3001,Payables,FALSE,01-Jan-12,3001,,,Payable,Payable to other sections,,300,,TRUE,None
account_3002,Payables,FALSE,01-Jan-12,3002,,,Payable,Trade Payables,,300,,TRUE,None
account_301,View,FALSE,01-Jan-12,301,,,View,Personel related accounts,,30,,FALSE,None
account_3010,Payables,FALSE,01-Jan-12,3010,,,Payable,Remuneration (net salary) payable,,301,,TRUE,None
account_3011,Payables,FALSE,01-Jan-12,3011,,,Payable,Expatriates Payables - (OCA only),,301,,TRUE,None
account_302,View,FALSE,01-Jan-12,302,,,View,Social security ,,30,,FALSE,None
account_3020,Payables,FALSE,01-Jan-12,3020,,,Payable,Social security,,302,,TRUE,None
account_303,View,FALSE,01-Jan-12,303,,,View,State and other public authority related accounts,,30,,FALSE,None
account_3030,Tax,FALSE,01-Jan-12,3030,,,Regular,VAT payable,,303,,TRUE,None
account_3031,Payables,FALSE,01-Jan-12,3031,,,Payable,Payroll taxes / PAYE payable,,303,,TRUE,None
account_3032,Payables,FALSE,01-Jan-12,3032,,,Payable,Other Taxes,,303,,TRUE,None
account_31,View,FALSE,01-Jan-12,31,,,View,Accrued liabilities,,3,,FALSE,None
account_310,View,FALSE,01-Jan-12,310,,,View,Employee costs,,31,,FALSE,None
account_3100,Payables,TRUE,01-Jan-12,3100,,,Payable,Accrued salaries payable ,,310,,TRUE,None
account_3101,Payables,TRUE,01-Jan-12,3101,,,Payable,Accrued 13th month payable,,310,,TRUE,None
account_3102,Payables,TRUE,01-Jan-12,3102,,,Payable,Accrued holiday pay - leave days payement,,310,,TRUE,None
account_3103,Payables,TRUE,01-Jan-12,3103,,,Payable,Accrued severance pay - employees benefits ,,310,,TRUE,None
account_3104,Payables,TRUE,01-Jan-12,3104,,,Payable,Other accrued employee costs,,310,,TRUE,None
account_311,View,FALSE,01-Jan-12,311,,,View,Accrued Payroll taxes,,31,,FALSE,None
account_3110,Payables,TRUE,01-Jan-12,3110,,,Payable,Accrued Payroll taxes,,311,,TRUE,None
account_312,View,FALSE,01-Jan-12,312,,,View,Accrued social security ,,31,,FALSE,None
account_3120,Payables,TRUE,01-Jan-12,3120,,,Payable,Accrued social security ,,312,,TRUE,None
account_313,View,FALSE,01-Jan-12,313,,,View,Other accrued liabilities ,,31,,FALSE,None
account_3130,Payables,TRUE,01-Jan-12,3130,,,Payable,Other accrued liabilities ,,313,,TRUE,None
account_32,View,FALSE,01-Jan-12,32,,,View,Short term provisions,,3,,FALSE,None
account_320,View,FALSE,01-Jan-12,320,,,View,Provisions,,32,,FALSE,None
account_3200,Debt,TRUE,01-Jan-12,3200,,,Regular,Provisions,,320,,TRUE,None
account_33,View,FALSE,01-Jan-12,33,,,View,Other current liabilities,,3,,FALSE,None
account_330,View,FALSE,01-Jan-12,330,,,View,Other current liabilities,,33,,FALSE,None
