level,name,type,parent_id
0,MIX,Mandatory,
0,SERVICE,Mandatory,
1,Administration,Mandatory,LOG
1,Camp,Mandatory,LOG
1,Kit,Mandatory,LOG
1,Library,Mandatory,LOG
1,Programm Support,Mandatory,LOG
1,Transport,Mandatory,LOG
2,Data processing,Mandatory,Administration
2,FOOD FOR MSF STAFF,Mandatory,Administration
2,Furnitures,Mandatory,Administration
2,Office equipment,Mandatory,Administration
2,STATIONERY,Mandatory,Administration
2,Team life,Mandatory,Administration
3,"Cable, dataprocessing",Mandatory,Data processing
3,Cartridge,Mandatory,Data processing
3,"Computer, Laptop",Mandatory,Data processing
3,Keyboard AZERTY,Mandatory,Data processing
3,Modem,Mandatory,Data processing
3,Printer,Mandatory,Data processing
3,Screen - Monitor,Mandatory,Data processing
3,Switch,Mandatory,Data processing
3,Beef,Mandatory,FOOD FOR MSF STAFF
3,Cassoulet,Mandatory,FOOD FOR MSF STAFF
3,Coffe,Mandatory,FOOD FOR MSF STAFF
3,dehydrated meal,Mandatory,FOOD FOR MSF STAFF
3,Duck,Mandatory,FOOD FOR MSF STAFF
3,Fruit,Mandatory,FOOD FOR MSF STAFF
3,Spinatch,Mandatory,FOOD FOR MSF STAFF
3,Sugar,Mandatory,FOOD FOR MSF STAFF
3,Taboule,Mandatory,FOOD FOR MSF STAFF
3,Tea,Mandatory,FOOD FOR MSF STAFF
3,"Bed, Rigid",Mandatory,Furnitures
3,Chair,Mandatory,Furnitures
3,Cupboard,Mandatory,Furnitures
3,Shelve,Mandatory,Furnitures
3,Calculator,Mandatory,Office equipment
3,Camera,Mandatory,Office equipment
3,duplicator,Mandatory,Office equipment
3,Photocopy Machine,Mandatory,Office equipment
3,Projector,Mandatory,Office equipment
3,Ribbon,Mandatory,Office equipment
3,Stencil,Mandatory,Office equipment
3,TELEFAX,Mandatory,Office equipment
3,"Book, Accounting",Mandatory,STATIONERY
3,"Book, Exercice",Mandatory,STATIONERY
3,"Card, visit",Mandatory,STATIONERY
3,Folder,Mandatory,STATIONERY
3,Label,Mandatory,STATIONERY
3,MAGNIFYING GLASS,Mandatory,STATIONERY
3,Paper,Mandatory,STATIONERY
3,Pen Felt,Mandatory,STATIONERY
3,Pen Marker,Mandatory,STATIONERY
3,Stamp,Mandatory,STATIONERY
3,back-pack,Mandatory,Team life
3,"Bin, Rubbish",Mandatory,Team life
3,Boots,Mandatory,Team life
3,"Boots, white colour",Mandatory,Team life
3,Bucket,Mandatory,Team life
3,colar,Mandatory,Team life
3,COOKER,Mandatory,Team life
3,Cream,Mandatory,Team life
3,"GOURD, aluminium",Mandatory,Team life
3,"Hat, Lined",Mandatory,Team life
3,Leather boots,Mandatory,Team life
3,Lighter,Mandatory,Team life
3,"LOGISTICIAN, FEMALE",Mandatory,Team life
3,"Logistician, Male",Mandatory,Team life
3,Mattress,Mandatory,Team life
3,Methanol,Mandatory,Team life
3,RUBBER BOOTS,Mandatory,Team life
3,Sheet,Mandatory,Team life
3,Soap,Mandatory,Team life
3,STOVE,Mandatory,Team life
3,SUN GLASS,Mandatory,Team life
3,Tee Shirt,Mandatory,Team life
3,Towel,Mandatory,Team life
3,Vest,Mandatory,Team life
2,Building,Mandatory,Camp
2,SEMIPERMANENT Shelter,Mandatory,Camp
2,Shelters,Mandatory,Camp
2,Water and sanitation,Mandatory,Camp
3,Block,Mandatory,Building
3,Gravel,Mandatory,Building
3,"Iron, Pipe, Profile...",Mandatory,Building
3,"Iron, Rod",Mandatory,Building
3,"Sheet, Aluminium",Mandatory,Building
3,VERMICULITH,Mandatory,Building
3,"Wood, Plank",Mandatory,Building
3,"Wood, Stud",Mandatory,Building
3,"Wood, Timber",Mandatory,Building
3,Container,Mandatory,SEMIPERMANENT Shelter
3,Blanket,Mandatory,Shelters
3,"Heater, Fuel",Mandatory,Shelters
3,"Heater, space",Mandatory,Shelters
3,Hospital Tent,Mandatory,Shelters
3,Peg Sand,Mandatory,Shelters
3,"Peg, Mud type",Mandatory,Shelters
3,"Pegs, Wind",Mandatory,Shelters
3,Plastic Sheeting,Mandatory,Shelters
3,Pole,Mandatory,Shelters
3,Tape,Mandatory,Shelters
3,Tent Dispensary,Mandatory,Shelters
3,Tent Family,Mandatory,Shelters
3,"Tent, Multipurpose",Mandatory,Shelters
3,"Tent, Team",Mandatory,Shelters
3,Warehouse,Mandatory,Shelters
3,Altimeter,Mandatory,Water and sanitation
3,"beaker, 1 l, graduated, plastic",Mandatory,Water and sanitation
3,Coupling,Mandatory,Water and sanitation
3,"Coupling, Collar, Clip",Mandatory,Water and sanitation
3,"Coupling, Half",Mandatory,Water and sanitation
3,"Coupling, Nipple",Mandatory,Water and sanitation
3,"Coupling, Reducer",Mandatory,Water and sanitation
3,"Coupling, T",Mandatory,Water and sanitation
3,"Coupling, Y",Mandatory,Water and sanitation
3,dosing pump,Mandatory,Water and sanitation
3,"Filter, water",Mandatory,Water and sanitation
3,Hose,Mandatory,Water and sanitation
3,Insecticide against cockroaches,Mandatory,Water and sanitation
3,Insecticide for IRS,Mandatory,Water and sanitation
3,Insecticide fr insecticidal dusting,Mandatory,Water and sanitation
3,Lime quick,Mandatory,Water and sanitation
3,Motor Pump Diesel,Mandatory,Water and sanitation
3,Motor Pump Electrical,Mandatory,Water and sanitation
3,"Motor Pump, Petrol",Mandatory,Water and sanitation
3,Permethrine,Mandatory,Water and sanitation
3,Sprayer,Mandatory,Water and sanitation
3,Squatting slab,Mandatory,Water and sanitation
3,Stainer,Mandatory,Water and sanitation
3,Tank,Mandatory,Water and sanitation
3,"Tank, Onion",Mandatory,Water and sanitation
3,"Test, tube",Mandatory,Water and sanitation
3,"Test, Water",Mandatory,Water and sanitation
3,Valve,Mandatory,Water and sanitation
2,Administration Kits,Mandatory,Kit
2,Camps kits,Mandatory,Kit
2,Communication kits,Mandatory,Kit
2,Programme support kits,Mandatory,Kit
2,Transport kits,Mandatory,Kit
2,Water and sanitation kits,Mandatory,Kit
3,Kit Library,Mandatory,Administration Kits
3,Kit Life,Mandatory,Administration Kits
3,Module Administrative,Mandatory,Administration Kits
3,Module Life,Mandatory,Administration Kits
3,Module Photocopy,Mandatory,Administration Kits
3,Module Stationnery,Mandatory,Administration Kits
3,"List, Building",Mandatory,Camps kits
3,Module Cooking,Mandatory,Camps kits
3,Module Installation,Mandatory,Camps kits
3,Module Shelter,Mandatory,Camps kits
3,Kit Hf Base,Mandatory,Communication kits
3,Kit Hf Mobile,Mandatory,Communication kits
3,Kit Vhf,Mandatory,Communication kits
3,Module Hf Base,Mandatory,Communication kits
3,Module UHF,Mandatory,Communication kits
3,Module Vhf,Mandatory,Communication kits
3,Kit Generator,Mandatory,Programme support kits
3,Kit Tools,Mandatory,Programme support kits
3,Kit Modification,Mandatory,Transport kits
3,Module Maintenance,Mandatory,Transport kits
3,kit electric pump,Mandatory,Water and sanitation kits
3,"Kit Motor Pump, Diesel",Mandatory,Water and sanitation kits
3,Kit Tank,Mandatory,Water and sanitation kits
2,INTERNAL MEDICINE,Mandatory,Library
2,MEDICINE GENERAL INFORMATION,Mandatory,Library
2,VIRAL INFECTIOUS DISEASES,Mandatory,Library
3,"Medical, Book",Mandatory,INTERNAL MEDICINE
3,"Dictionnary, Medical terms, Book",Mandatory,MEDICINE GENERAL INFORMATION
3,"Dengue, Book",Mandatory,VIRAL INFECTIOUS DISEASES
3,"Measle, Guide",Mandatory,VIRAL INFECTIOUS DISEASES
2,Cold chain,Mandatory,Programm Support
2,Communication,Mandatory,Programm Support
2,COOKING,Mandatory,Programm Support
2,Electricity,Mandatory,Programm Support
2,HARDWARE,Mandatory,Programm Support
2,Hygiene,Mandatory,Programm Support
2,Lighting,Mandatory,Programm Support
2,Packing and handling,Mandatory,Programm Support
2,Safety and protective equipment,Mandatory,Programm Support
2,SPARE PARTS LISTER,Mandatory,Programm Support
2,SPARE PARTS LOMBARDINI,Mandatory,Programm Support
2,SPARE PARTS ROBIN,Mandatory,Programm Support
2,Tools,Mandatory,Programm Support
3,"Box, Cold Box, Ice Box",Mandatory,Cold chain
3,Burner,Mandatory,Cold chain
3,Control,Mandatory,Cold chain
3,Freezer,Mandatory,Cold chain
3,Pack,Mandatory,Cold chain
3,Refrigerator,Mandatory,Cold chain
3,Refrigerator Freezer,Mandatory,Cold chain
3,SOLAR REFRIGERATOR,Mandatory,Cold chain
3,Thermometer,Mandatory,Cold chain
3,Adaptor Coaxial,Mandatory,Communication
3,Antenna Accessories,Mandatory,Communication
3,Antenna Hf,Mandatory,Communication
3,Antenna UHF,Mandatory,Communication
3,Antenna Vhf,Mandatory,Communication
3,"Cable, telecom",Mandatory,Communication
3,Connector Coaxial,Mandatory,Communication
3,Power Supply,Mandatory,Communication
3,Radio Telex,Mandatory,Communication
3,"Telephone, Fax",Mandatory,Communication
3,Transceiver Hf,Mandatory,Communication
3,Transceiver Satellite,Mandatory,Communication
3,Transceiver UHF,Mandatory,Communication
3,Transceiver Vhf,Mandatory,Communication
3,bottle,Mandatory,COOKING
3,Bowl,Mandatory,COOKING
3,"Box, Cold Box, Ice Box",Mandatory,COOKING
3,Scoop,Mandatory,COOKING
3,Spoon,Mandatory,COOKING
3,"Battery, Charger",Mandatory,Electricity
3,"Battery, charger - inverter",Mandatory,Electricity
3,"Cable, Earth",Mandatory,Electricity
3,"Clamp, electric",Mandatory,Electricity
3,Conduit,Mandatory,Electricity
3,electrical board,Mandatory,Electricity
3,"Fuse, Ceramic type",Mandatory,Electricity
3,Generator Diesel,Mandatory,Electricity
3,Plug,Mandatory,Electricity
3,Regulator,Mandatory,Electricity
3,Ties,Mandatory,Electricity
3,Transformer,Mandatory,Electricity
3,"Bolt, Black",Mandatory,HARDWARE
