default_code,name,type,subtype,procure_method,supply_method,categ_id,international_status,active,batch_management,perishable,uom_id,nomen_manda_0,nomen_manda_1,nomen_manda_2,nomen_manda_3
"DORADIDA15T","DIDANOSINE (ddI), 150 mg, chewable dispersable tab.","Stockable Product","Single Item","Make to Order","Buy","Oral drugs","Approved (ITC)","True","False","True","PCE","MED","Drugs","Oral drugs","Didanosine"
"DORADIET1T-","DIETHYLCARBAMAZINE dihydrogen citrate, 100 mg, break. tab.","Stockable Product","Single Item","Make to Order","Buy","Oral drugs","Approved (ITC)","True","False","True","PCE","MED","Drugs","Oral drugs","Diethylcarbamazine"
"DORADIGO2T-","DIGOXIN, 0.25 mg, tab.","Stockable Product","Single Item","Make to Order","Buy","Oral drugs","Approved (ITC)","True","False","True","PCE","MED","Drugs","Oral drugs","Digoxine"
"DORAEFAV1C-","EFAVIRENZ (EFV or EFZ), 100 mg, caps.","Stockable Product","Single Item","Make to Order","Buy","Oral drugs","Approved (ITC)","True","False","True","PCE","MED","Drugs","Oral drugs","Efavirenz"
"DINJCEFA1V-","CEFAZOLIN, 1 g, (IV), powder, vial","Stockable Product","Single Item","Make to Order","Buy","Injectable drugs","Approved (ITC)","True","True","True","PCE","MED","Drugs","Injectable drugs","Cefazolin"
"DINJCHLM5A-","CHLORPROMAZINE, 25 mg/ml, 2 ml, amp.","Stockable Product","Single Item","Make to Order","Buy","Injectable drugs","Approved (ITC)","True","True","True","PCE","MED","Drugs","Injectable drugs","Chlorpromazine"
"DINJCHLO1V-","CHLORAMPHENICOL; 1 g powder, vial","Stockable Product","Single Item","Make to Order","Buy","Injectable drugs","Approved (ITC)","True","True","True","PCE","MED","Drugs","Injectable drugs","Chloramphenicol"
"DINJCHLO5VO","CHLORAMPHENICOL sodium succinate, in oil, 250mg/ml, 2ml, amp","Stockable Product","Single Item","Make to Order","Buy","Injectable drugs","Approved (ITC)","True","True","True","PCE","MED","Drugs","Injectable drugs","Chloramphenicol"
"DVACVBCG1VD","VACCINE BCG, multidose, 1 dose, vial + solv.","Stockable Product","Single Item","Make to Order","Buy","Vaccines","Approved (ITC)","True","True","True","PCE","MED","Drugs","Vaccines","Vaccine Bcg"
"DVACVDHH1V-","VACCINE DPT / HEPATITIS B / Hib, monodosis, 0.5 ml, amp.","Stockable Product","Single Item","Make to Order","Buy","Vaccines","Approved (ITC)","True","True","True","PCE","MED","Drugs","Vaccines","Vaccine, DPT+hepatitis B+Hib"
"DVACVDPH1VD","VACCINE DPT / HEPATITIS B, multidose, 1 dose, vial","Stockable Product","Single Item","Make to Order","Buy","Vaccines","Approved (ITC)","True","True","True","PCE","MED","Drugs","Vaccines","Dipthery, tetanus, pertussis, hep B"
