code,currency,default_credit_account_id,default_debit_account_id,name,type,analytic_journal_id
AC,,,,Accruals,accrual,Accruals
HQ,,,,HQ,hq,Analytic HQ
HQ-Exp,,,,HQ - Field expenses,hq,HQ - Field expenses
HR,,,,HR,hr,HR
MT,,,6940 Currency exchange difference HQ ONLY,Miscellaneous Transactions,cur_adj,Miscellaneous Transactions Journal
OD,,,,Correction,correction,Correction
PUR,,,,Purchase,purchase,Purchase
PURR,,,,Purchase Refund,purchase_refund,Purchase Refund
SAL,,,,Sale,sale,Sale
SALR,,,,Sale Refund,sale_refund,Sale Refund
STO,,,,Stock,stock,
IKD,,,,In-kind Donation,inkind,Analytic In-kind Donation
INT,,,,Intermission,intermission,Analytic Intermission
REVAL,,,,Revaluation,revaluation,Revaluation
