"id","name","model_id","perm_read","perm_write","perm_create","perm_unlink","group_id/id"
"sync_read_entity_manager_id","sync_read_","sync.client.entity_manager","True","","","","sync_common.sync_read_group"
"sync_read_child_entity_id","sync_read_child_entity","sync.client.child_entity","True","","","","sync_common.sync_read_group"
"sync_read_sync_manager_id","sync_read_sync_manager","sync.client.sync_manager","True","","","","sync_common.sync_read_group"
"sync_read_rule_id","sync_read_rule","sync.client.rule","True","","","","sync_common.sync_read_group"
"sync_read_update_to_send_id","sync_read_update_to_send","sync.client.update_to_send","True","","","","sync_common.sync_read_group"
"sync_read_update_received_id","sync_read_update_received","sync.client.update_received","True","","","","sync_common.sync_read_group"
"sync_read_entity_group_id","sync_read_entity_group","sync.client.entity_group","True","","","","sync_common.sync_read_group"
"sync_read_register_entity_id","sync_read_register_entity","sync.client.register_entity","True","","","","sync_common.sync_read_group"
"sync_read_update_entity_id","sync_read_update_entity","sync.client.update_entity","True","","","","sync_common.sync_read_group"
"sync_read_activate_entity_id","sync_read_activate_entity","sync.client.activate_entity","True","","","","sync_common.sync_read_group"
"sync_read_instance_temp_id","sync_read_instance_temp","sync_client.instance.temp","True","","","","sync_common.sync_read_group"
"sync_read_message_rule_id","sync_read_message_rule","sync.client.message_rule","True","","","","sync_common.sync_read_group"
"sync_read_message_to_send_id","sync_read_message_to_send","sync.client.message_to_send","True","","","","sync_common.sync_read_group"
"sync_read_message_received_id","sync_read_message_received","sync.client.message_received","True","","","","sync_common.sync_read_group"
"sync_read_write_info_id","sync_read_write_info","sync.client.write_info","True","","","","sync_common.sync_read_group"
"sync_read_entity_id","sync_read_entity","sync.client.entity","True","","","","sync_common.sync_read_group"
"sync_read_sync_server_connection_id","sync_read_sync_server_connection","sync.client.sync_server_connection","True","","","","sync_common.sync_read_group"

